Device,Comment,Device,Comment
X00,準備完了,Y00,シーケンサレディ
X01,同期用フラグ,Y01,全軸サーボON
X02,使用禁止,Y02,使用禁止
X03,使用禁止,Y03,使用禁止
X04,使用禁止,Y04,使用禁止
X05,使用禁止,Y05,使用禁止
X06,使用禁止,Y06,使用禁止
X07,使用禁止,Y07,使用禁止
X08,使用禁止,Y08,使用禁止
X09,使用禁止,Y09,使用禁止
X0A,使用禁止,Y0A,使用禁止
X0B,使用禁止,Y0B,使用禁止
X0C,使用禁止,Y0C,使用禁止
X0D,使用禁止,Y0D,使用禁止
X0E,使用禁止,Y0E,使用禁止
X0F,使用禁止,Y0F,使用禁止
X10,軸1 BUSY,Y10,軸1 位置決め始動
X11,軸2 BUSY,Y11,軸2 位置決め始動
X12,軸3 BUSY,Y12,軸3 位置決め始動
X13,軸4 BUSY,Y13,軸4 位置決め始動
X14,軸5 BUSY,Y14,軸5 位置決め始動
X15,軸6 BUSY,Y15,軸6 位置決め始動
X16,軸7 BUSY,Y16,軸7 位置決め始動
X17,軸8 BUSY,Y17,軸8 位置決め始動
X18,軸9 BUSY,Y18,軸9 位置決め始動
X19,軸10 BUSY,Y19,軸10 位置決め始動
X1A,軸11 BUSY,Y1A,軸11 位置決め始動
X1B,軸12 BUSY,Y1B,軸12 位置決め始動
X1C,軸13 BUSY,Y1C,軸13 位置決め始動
X1D,軸14 BUSY,Y1D,軸14 位置決め始動
X1E,軸15 BUSY,Y1E,軸15 位置決め始動
X1F,軸16 BUSY,Y1F,軸16 位置決め始動
X20,軸17 BUSY,Y20,軸17 位置決め始動
X21,軸18 BUSY,Y21,軸18 位置決め始動
X22,軸19 BUSY,Y22,軸19 位置決め始動
X23,軸20 BUSY,Y23,軸20 位置決め始動
X24,軸21 BUSY,Y24,軸21 位置決め始動
X25,軸22 BUSY,Y25,軸22 位置決め始動
X26,軸23 BUSY,Y26,軸23 位置決め始動
X27,軸24 BUSY,Y27,軸24 位置決め始動
X28,軸25 BUSY,Y28,軸25 位置決め始動
X29,軸26 BUSY,Y29,軸26 位置決め始動
X2A,軸27 BUSY,Y2A,軸27 位置決め始動
X2B,軸28 BUSY,Y2B,軸28 位置決め始動
X2C,軸29 BUSY,Y2C,軸29 位置決め始動
X2D,軸30 BUSY,Y2D,軸30 位置決め始動
X2E,軸31 BUSY,Y2E,軸31 位置決め始動
X2F,軸32 BUSY,Y2F,軸32 位置決め始動
X30,使用禁止,Y30,使用禁止
X31,使用禁止,Y31,使用禁止
X32,使用禁止,Y32,使用禁止
X33,使用禁止,Y33,使用禁止
X34,使用禁止,Y34,使用禁止
X35,使用禁止,Y35,使用禁止
X36,使用禁止,Y36,使用禁止
X37,使用禁止,Y37,使用禁止
X38,使用禁止,Y38,使用禁止
X39,使用禁止,Y39,使用禁止
X3A,使用禁止,Y3A,使用禁止
X3B,使用禁止,Y3B,使用禁止
X3C,使用禁止,Y3C,使用禁止
X3D,使用禁止,Y3D,使用禁止
X3E,使用禁止,Y3E,使用禁止
X3F,使用禁止,Y3F,使用禁止
